기준일자,요일,시간대,격자_50,업종대분류,카드이용금액계,카드이용건수계
20240121,일요일,4,다사519a422b,한식,1224961,19
20240121,일요일,4,다사588a438a,편의점,276053,13
20240121,일요일,2,다사534a526b,한식,180308,10
20240121,일요일,5,다사599b615b,한식,563584,60
20240121,일요일,3,다사652b443a,생활잡화/수입상품점,1245796,29
20240121,일요일,4,다사601b500b,커피전문점,184574,24
20240121,일요일,2,다사589b428a,편의점,23377,6
20240121,일요일,3,다사621b491a,제과점,931404,61
20240121,일요일,4,다사483b447a,정육점,308659,7
20240121,일요일,3,다사573b576b,한식,517503,8
20240121,일요일,5,다사589a609b,약국,633244,71
20240121,일요일,5,다사713a520a,기타식품,182000,50
20240121,일요일,3,다사596a561b,독서실,46142,8
20240121,일요일,2,다사642b550a,편의점,119368,10
20240121,일요일,4,다사637b505b,편의점,128896,27
20240121,일요일,5,다사480b506a,동물병원,8718877,40
20240121,일요일,3,다사611b576b,편의점,9076,7
20240121,일요일,1,다사518a424a,한식,546199,10
20240121,일요일,4,다사593a531a,편의점,302237,42
20240121,일요일,1,다사488b505a,한식,2303853,40
20240121,일요일,5,다사428b446b,슈퍼마켓일반형,1747338,122
20240121,일요일,3,다사434a475a,한식,208776,6
20240121,일요일,6,다사548a433b,편의점,232161,43
20240121,일요일,1,다사517b423a,ZZ_나머지,110645,15
20240121,일요일,2,다사405b522a,세탁소,133611,5
20240121,일요일,5,다사601a463a,편의점,651062,50
20240121,일요일,2,다사598a430a,편의점,114741,12
20240121,일요일,6,다사480a582b,편의점,477373,60
20240121,일요일,6,다사480a539b,실내/실외골프장,154131,5
20240121,일요일,5,다사580b532a,편의점,368307,33
20240121,일요일,2,다사510b551a,편의점,183683,34
20240121,일요일,1,다사610b617b,"모텔,여관,기타숙박",592482,4
20240121,일요일,4,다사551a521a,기타요식,170293,14
20240121,일요일,4,다사517b517b,양식,154093,8
20240121,일요일,5,다사417b513b,일식,280246,15
20240121,일요일,5,다사597b419a,일식,249586,7
20240121,일요일,4,다사636b452b,화원,149451,14
20240121,일요일,4,다사540a523b,한식,93931,8
20240121,일요일,5,다사630a487b,편의점,434591,65
20240121,일요일,5,다사588a626b,기타요식,29690,9
20240121,일요일,1,다사583a624a,편의점,160236,23
20240121,일요일,3,다사559b537a,양식,309620,7
20240121,일요일,5,다사595b588a,커피전문점,244526,83
20240121,일요일,2,다사581b448b,제과점,66583,4
20240121,일요일,5,다사596b518b,편의점,646821,105
20240121,일요일,5,다사491a541a,커피전문점,91627,29
20240121,일요일,6,다사596b429b,양식,1256280,16
20240121,일요일,5,다사615b463b,편의점,111460,17
20240121,일요일,4,다사601b451b,편의점,165602,19
20240121,일요일,2,다사589b556a,ZZ_나머지,21543,3
20240121,일요일,5,다사573a603b,슈퍼마켓일반형,38738,8
20240121,일요일,4,다사496b521b,한식,1067014,79
20240121,일요일,4,다사621b494a,중식,29037,8
20240121,일요일,4,다사580b467a,편의점,67369,17
20240121,일요일,5,다사623a509b,슈퍼마켓일반형,359568,35
20240121,일요일,3,다사542b430b,한식,1024645,55
20240121,일요일,2,다사523b486b,편의점,41357,5
20240121,일요일,2,다사639a533b,슈퍼마켓일반형,139986,20
20240121,일요일,5,다사488a579a,약국,1964398,144
20240121,일요일,5,다사626a625b,정육점,822202,21
20240121,일요일,4,다사483b545a,기타요식,167166,4
20240121,일요일,6,다사689b430a,편의점,826922,67
20240121,일요일,4,다사489b570a,한식,86797,6
20240121,일요일,4,다사509a427a,주유소,1723550,56
20240121,일요일,3,다사695a503b,슈퍼마켓일반형,707436,6
20240121,일요일,4,다사658b459b,주유소,4638861,67
20240121,일요일,3,다사507a498b,기타유통,113467,21
20240121,일요일,5,다사492a480b,주유소,64340,7
20240121,일요일,3,다사484a519a,편의점,95269,18
20240121,일요일,5,다사538b514b,약국,43371,7
20240121,일요일,3,다사456a438a,일식,330326,15
20240121,일요일,5,다사499a570b,편의점,311166,51
20240121,일요일,6,다사616b491b,한식,834245,27
20240121,일요일,6,다사516a494a,편의점,81392,15
20240121,일요일,2,다사600a636a,한식,818047,32
20240121,일요일,4,다사398a431a,편의점,407653,65
20240121,일요일,3,다사488b505a,기타요식,270971,37
20240121,일요일,2,다사600a424a,편의점,161702,34
20240121,일요일,5,다사641a553a,대형마트,161107200,3227
20240121,일요일,3,다사491a515b,기타요식,5768047,347
20240121,일요일,5,다사581b574a,편의점,633290,53
20240121,일요일,5,다사686a484a,제과점,414369,32
20240121,일요일,3,다사578a610a,정육점,18681359,8
20240121,일요일,5,다사531b488a,기타요식,176647,47
20240121,일요일,5,다사668b421a,편의점,867143,206
20240121,일요일,2,다사570b512b,편의점,198336,34
20240121,일요일,6,다사569a437b,한식,5156394,106
20240121,일요일,6,다사643b560b,기타요식,729827,6
20240121,일요일,6,다사670a488b,기타식품,10461,8
20240121,일요일,3,다사570a614a,한식,173291,7
20240121,일요일,3,다사470a393b,화원,64087,8
20240121,일요일,6,다사674b503a,기타요식,285806,6
20240121,일요일,6,다사520b530b,편의점,668901,56
20240121,일요일,3,다사479a539a,기타요식,259512,19
20240121,일요일,6,다사576a467b,커피전문점,93417,17
20240121,일요일,4,다사574b461b,슈퍼마켓일반형,222661,25
